ocena,ime,alkohol,kategorija,cena,opis,ocenjevalec,cas_ocene 
84,Caol Ila,,Single Malt Scotch,,"Without water, this is an aggressive malt, sharp and acerbic. With water, it’s still more in your face than any official bottling. Where you tend to associate Caol Ila with oily, peaty, and maritime characteristics, this is altogether more feisty and ballsier, with a glance to the big three peaty distilleries in the south of Islay, and even a nod to its peppery cousin on Skye. On the nose there is peat, but it is tempered by dark chocolate; some citrus there, too. The taste is quite sharp, with bitter lemon, licorice, and sooty peat to the fore. Certainly an interesting take on this intriguing distillery, and far removed from last year’s relatively gentle 25 year old release, but there are questions over the balance, and whether it’s a better whisky is a moot point. ",Dominic Roskrow,Spring 2011
84,Hazelburn,,Single Malt Scotch,,"Springbank’s tasting room bottling of its triple-distilled malt will not disappoint any fan of the official bottling; all its rounded and honeyed characteristics are firmly in evidence here. The nose is soft and sweet, with praline and a touch of condensed sweet malt joining creamed vanilla. Without water, the malt is surprisingly robust and prickly. Dilute it, though, and it’s a very pleasant drink, with crystallized grapefruit, traces of hickory and menthol, some honey, and sweet candy. Later on, spice comes through, and the finish is long, fruity, and spicy. An interesting take, but not a radical departure from the official bottling. ",Dominic Roskrow,Spring 2011
84,Stronachie,,Single Malt Scotch,,"A “branded” malt, meaning we don’t know which distillery this whisky came from. Fresh and quite fruity (peach, nectarine, golden raisin, orange, pineapple) with a nice underlying honey, vanilla, and caramel sweetness. Soft, gentle, malty finish. It’s clean, nicely balanced, and pleasant.",John Hansell,Spring 2011
85,Dry Fly Straight Wheat,45.0,Wheat Whiskey,40,"A fragrant nose offers scents of orange blossom, cinnamon, lemon peel, vanilla, and balanced oak. The palate has a drier orange peel note, as well as peanut shells, cinnamon, ginger, and bitter chocolate. Quite dry on the back palate, where the wood influence becomes much more prominent. The finish is light, with bitter chocolate, some nuttiness, tobacco, dried herbs, and drying oak. Pleasant spiciness, cinnamon, and citrus overall.",David Fleming,Fall 2019
85,Balcones Baby Blue Corn (Batch 19-1),46.0,American Whiskey (Unspecified),40,"A polarizing nose of tropical fruit (papaya, mango, melon) drenched in butterscotch vies with the distinct aroma of tennis shoes on asphalt. The palate is hot, dry, and somewhat ashy, with billowing smoke, tobacco leaf, and nuttiness, undercut by lime and orange oil. Drying and oak-driven on the finish, it’s sweetened by the addition of water.",Susannah Skiver Barton,Fall 2019
85,Spirit Hound Colorado Honey Malt (Barrel No. 4),45.0,Straight Malt,65,"Straight malt whiskey finished in barrels that previously held honey. The nose is enchanting, perfumy with fresh flowers, bubble gum, cinnamon-dusted apple slices, pink peppercorn, sassafras, and salt water taffy. The honey-barrel finish shows itself on the palate, which has milk chocolate, sugary chai, lemon, molasses, pralines, and, of course, unctuous honey. So syrupy and sweet, it truly gives new meaning to “dessert whiskey.”",Susannah Skiver Barton,Fall 2019
85,Chambers Bay Straight Bourbon (Batch 6),,Bourbon/Tennessee,43,"Lots to unpack on the nose: dried orange peel, blueberry, maple syrup, herbs, and fragrant spices—cinnamon, allspice, clove, caraway; with water, green papaya and cedar. The palate is dry and chewy with oak, orange, cinnamon, clove, cedar oil, roasted nuts, chocolate, and crushed red pepper. It finishes simply, with dry oak, nutty chocolate, and cinnamon.",Susannah Skiver Barton,Fall 2019
85,Strathcolm 8 year old,40.0,Single Grain Whisky,36,"Spicy from the start, this has aromas of earthy whole spices, rolled marzipan, new books, and bakery shelves. Before it lays down the spices, it shows its hand with sweet vanilla, cereal notes, flapjacks, and almond paste on the palate. The finish has toasted oats, golden syrup, and spiciness. Decent whisky, though the sweetness is pegged back, and the other Strathcolm grains show greater personality. (3,000 bottles)",Jonny McCormick,Fall 2019
85,Blaum Bros. Straight Bourbon,50.0,Bourbon/Tennessee,50,"The nose has fruity hard candy, citrus oil, and lime Popsicle stick, along with expressive grain. On the palate, the sturdy proof holds up well to a few drops of water, revealing iced herbal tea, mint leaves, cinnamon, black pepper, and orange oil, as well as plenty of chewy oak. The finish is where this whiskey’s personality really starts to show, offering rich dark chocolate and roasted almonds.",Susannah Skiver Barton,Fall 2019
85,Penelope Four Grain Straight Bourbon,40.0,Bourbon/Tennessee,38,"Notes of red fruit, blueberry, dried cherries, Grape Nuts, lemon oil, and an herbal spiciness on the nose, balanced against an influence of drying oak. The palate is smooth and light, with cinnamon, milk chocolate, peanut shells, green pepper, and oak tannins. The finish is sweet and offers a tropical note of sweet orange and lemon. This whiskey is light, but the four-grain mashbill creates an intriguing non-traditional profile.",David Fleming,Fall 2019
85,Tom’s Town Double Oaked Bourbon,45.0,Bourbon/Tennessee,40,"A nose of dark fruit, figs, sassafras, powdered orange candy, and brown sugar leads to a palate that’s lightly nimble, with vanilla, iced tea, lemon, cracked pepper, and textured oak. Water brings out sweeter notes, with orange and strawberry balanced against herbal flavors and eucalyptus. The finish is sweet and a bit light, tasting of sliced orange, vanilla syrup, toasted oak, and roasted herbs. A balanced, light, and somewhat non-traditional bourbon.",David Fleming,Fall 2019
85,Town Branch Kentucky Straight Bourbon,45.0,Bourbon/Tennessee,39,"Uncommonly delicate and floral: a bundle of honeysuckle and grandma’s potpourri on the nose, mingled with cantaloupe, almond milk, rice pudding, peach, and Nilla Wafer. It fills the mouth with an oily texture and flavors of tropical fruit, peach, melon, hazelnut, and citrus soap, finishing with lingering tobacco and nuts. Town Branch uses the same proprietary yeast for this bourbon as its Pearse Irish whiskey, which may explain the unusual flavor profile.",Susannah Skiver Barton,Fall 2019
85,Glenrothes 10 year old,40.0,Single Malt Scotch,45,"Quite youthful on the nose, with barley, vanilla, and finally nectarines. Smooth and medium-bodied, with floral notes, custard, and milk chocolate. A relatively short finish, with sappy oak.",Gavin Smith,Summer 2019
85,Balcones Texas Pot Still Straight (Batch 19-1),46.0,Bourbon/Tennessee,30,"Oily, earthy, and a bit vegetal on the nose, with nori, moss, caramel corn, toasted pecans, barbecue potato chips, and butterscotch haystacks. The oily-textured palate is heavy on smoky char, roasted corn and nuts, savory mesquite-cooked meat, and spearmint. On the finish, it’s all cigar wrapper, dark chocolate, mint oil, and coffee bean, with plenty of lingering char flavor.",Susannah Skiver Barton,Summer 2019
85,Filibuster Dual Cask Finished Bourbon,45.0,Bourbon/Tennessee,41,"Faintly herbal but mostly sweet aromas: Swedish fish, Twizzlers, treacle, marshmallow, and toasted almonds, as well as Lipton tea bag and pine needles. The flavor is dominated by oak, along with charred corn, black pepper, roasted nuts, and pipe tobacco, while the finish takes a slight turn with lingering pine and cigar notes.",Susannah Skiver Barton,Summer 2019
85,Grant’s Cask Editions Ale Cask Finish,40.0,Blended Scotch Whisky,20,"Buttercream, fresh-cut bread, taffy candy, citrus, and a distinctive hoppy note from the craft ale casks. Charmingly smooth but quite light bodied, there is warmed bramble fruit, bitter grapefruit peel, and plenty of peppery spice. This stands up well to other ale-cask finished whiskies, but in the Grant’s range there are better whiskies with more to offer.",Jonny McCormick,Summer 2019
85,Clan MacGregor,40.0,Blended Scotch Whisky,10,"Banana chips, peppercorn, coriander stalks, dry grasses, cracker bread, faint lemon zest, butterscotch, and green apple; more grain than malt character evident. With watery citrus, butterscotch, walnut, lemon peel, and caramel initially, it’s lighter-bodied but balanced. It develops more spices and a fine texture as it dilutes, lifted by cinnamon, caramel, and gentle spices. Overlook the hard-to-love nose, and this is tasty both neat and over ice.",Jonny McCormick,Summer 2019
85,Crooked Water Regatta Rum Finish Rye,,Rye Whiskey,50,"Three and half year old rye finished in rum casks from Barbados. Rum-influenced notes of ripe mango, guava, and orange curaçao dominate the nose. A light, nimble mouthfeel with rum sweetness on the palate, plus candied mandarin, lemon, pineapple, and a light pine note. Similar notes on the finish, helped by a sprinkling of white pepper. Flavorful and rich, with the overlay of rum sweetness dominating the rye notes to some degree.",David Fleming,Summer 2019
85,Black Feather Bourbon,43.0,Bourbon/Tennessee,30,"The nose begins with a whiff of new wood, but moves to orange peel, apricot, green banana, raisin bread, black tea, and raspberry Popsicle. The palate is youthful and syrupy in texture, with notes of milk chocolate, burnt almond, vanilla frosting, and chili spice. The finish is barrel-influenced but light and honeyed, with notes of milk chocolate, nuttiness, and spice.",David Fleming,Summer 2019
85,Horse Soldier Barrel Strength,,Bourbon/Tennessee,80,"This bourbon is named for the Special Forces horsemen, known as the horse soldiers, who served in Afghanistan. The nose starts earthy and herbal, with notes of leather, licorice, and light smokiness. Drying oak on the palate, with bitter orange and herbal notes, roasted walnuts, and burnt cinnamon and brown sugar. A finish of orange, bitter chocolate, and espresso beans. Water coaxes out raspberry and honey blossom.",David Fleming,Summer 2019
85,District Made Straight Rye,47.0,Rye Whiskey,45,"Orange and flower aromas mingled with cinnamon candy, tea leaves, and fresh-cut wood show off the lively side of the grain from the start. In the mouth, this whiskey is spicy and vibrant, with chili pepper, Hot Tamales, green banana, and plenty of oak, finishing on dark chocolate, black tea, and lingering heat. A young whiskey, but well on its way.",Susannah Skiver Barton,Summer 2019
85,Gun Fighter Double Cask Rye,50.0,Rye Whiskey,34,"Orange, mango, strawberry candy, and licorice on the nose, while water brings out watermelon, more mango, and a soft wood note. A light palate offers fruitcake, orange, blackberry, chocolate, almond, gingersnaps, tobacco, and cedar spice. A finish of vanilla, orange, and more tobacco, with water bringing out hot chocolate, orange, burnt espresso beans, and drying oak. Orangey and tropical at the outset, but also deep and nutty, particularly on the finish.",David Fleming,Summer 2019
85,Woodford Reserve Master’s Collection American Oak,,Bourbon/Tennessee,130,"The nose is a bit hot and generally restrained, with dried leaves, earthiness, and waxy crayons. Light-bodied, very soft, and somewhat juicy. Stone fruit and grain flavors combine for an enjoyable peach-pie quality before the tannic finish.",Jeffery Lindenmuth,Spring 2019
85,Charbay Doubled & Twisted,45.0,American Whiskey (Unspecified),50,"A blend of 3 year old single malt (30%), 3 year old whiskey distilled from pilsner beer (20%), and 7 year old whiskey distilled from stout (30%). Unsurprisingly, the nose is hoppy, with an overlay of pine bough and a tropical fragrance of lemon and pineapple. The palate is deeper, with more hops and pine, plus bitter citrus, lime, and white pepper. The finish melds bitter chocolate, roasted pecans, and toasty oak. (3,960 bottles)",David Fleming,Spring 2019
85,Gentleman Jack,40.0,Bourbon/Tennessee,32,"A host of sweet confections—caramel corn, candied apples, toasted marshmallow, bubble gum, and gobs of banana taffy—are reminiscent of a warm summer night at the fair. The palate speaks of orchard fruits, sweet golden apples, and poached pear, as hints of peach and cocoa appear on the clean, enjoyable, and succinct finish.",Jeffery Lindenmuth,Spring 2019
85,St. George Spirits Breaking & Entering,43.0,American Whiskey (Unspecified),40,"American whiskey takes an unusual direction with this blend of straight bourbons from Kentucky and Tennessee, straight rye from Tennessee, and malt whiskey made by St. George Spirits. On the nose, stewed plums and apricots, orange gumdrops, almonds, earthy grain—spilled wine in the garden. A resinous and hoppy palate, with poached pears, cooked ginger, lemon, white pepper, and milk chocolate-covered almonds. Lemon pith and mild oak on the finish.",Susannah Skiver Barton,Spring 2019
85,Navazos Palazzi Malt Bota Punta,,Spanish Whisky,104,"Red apple, dried fig, clove, baked ham, and plums boiled in sugar in this warm, fragrant, and aromatic whisky made with Spanish malt. The complexity of the nose is not sustained, as the spice characters dominate the palate after the initial few seconds. Baked orange, verging on tropical fruits, is overthrown by the black pepper and clove welling up from the underside of the tongue, leaving a bitter chicory aftertaste. (900 bottles for U.S.)",Jonny McCormick,Spring 2019
85,Sierra Norte Single Barrel Purple Corn,45.0,World Whisky,50,"Pepper and allspice light up with savory brisket notes, star anise, a dry nuttiness, and a pile of peanut shells. The flavor slowly comes into focus with stewed apple, red currant, pomegranate, and cranberry, background spices, and late caramel sweetness. The finish has throbbing, gum-tingling heavy clove notes with toffee penny chews and red licorice.",Jonny McCormick,Spring 2019
85,A.P. Hotaling J.H. Cutter,48.0,American Blended Whiskey,50,"Expressively aromatic, with orange, chai spices, incense, spearmint, and Juicy Fruit gum, buttressed by earthy moss and cedar. Equally vivid flavors of dry oak, pepper, cinnamon Red Hots, dried orange peel, orange pekoe tea, and chili-chocolate, but it loses steam on the finish. Water tames some of the brasher qualities without dampening the liveliness.",Susannah Skiver Barton,Spring 2019
85,Blackened,45.0,American Blended Whiskey,43,"A collaboration between the late Dave Pickerell and metal group Metallica, this sourced straight whiskey blend was finished in so-called “black brandy barrels” for several weeks to the sound of Metallica’s music—a method aimed at enhancing the aging process. Dusty oak, potpourri, leather, licorice, vanilla, and caramel, along with banana, raisins, and plums on the palate. Bitter chocolate and spicy heat punctuate the finish, with a light citrus note.",David Fleming,Spring 2019
85,Proper No. Twelve,40.0,Irish Blended Whiskey,30,"Initially, Conor McGregor’s whiskey seems more laborious than notorious, with a rather unremarkable nose of fondant orange and mediocre spices, not helped by the first sip’s wishy-washy fruitiness of diluted orange and fudge, but before you tap out, it gets back on its feet and starts swinging for the fences with a redeeming comeback of gingerbread, clove, pepper, charred oak, and a knockout, gum-tingling buzz of spice.",Jonny McCormick,Spring 2019
85,Jim Beam Repeal Batch,43.0,Bourbon/Tennessee,18,"A delicate nose of golden raisin, Cracker Jack peanuts, pleasing citrus, and hints of clove. The palate is fairly straightforward in its honeyed sweetness and warm cereal notes, with hints of tobacco leaf. Not exciting, but enjoyable in an understated way and a nice leisurely sipper.",Jeffery Lindenmuth,Winter 2018
85,Two Stars Kentucky Straight Bourbon,43.0,Bourbon/Tennessee,26,"Sweet and fruity to start, with Swedish fish, orange Creamsicle, circus peanuts, and some dusty spices: pepper, caraway, and allspice. There’s zippier spice and citrus on the palate, along with chili-chocolate, peanut brittle, cherry cough syrup, and a little leathery oak on the finish. It’s soft and light-bodied—serviceable, but not exciting. (<em>Total Wine &amp; More</em>)",Susannah Skiver Barton,Winter 2018
85,Highland Queen Majesty 15 year old,46.0,Single Malt Scotch,50,"Sulfury funk on the nose might intimidate, but it’s a harbinger of the whisky’s strong sherry influence. There are also aromas of cinnamon, allspice, tangy stewed fruit, roasted almonds, and saline. The palate is intensely floral, with raisins, dried figs, hazelnuts, red berries, and a little milk chocolate. Richly flavored, but light-bodied; a gentle sherried whisky. (<em>Total Wine &amp; More</em>)",Susannah Skiver Barton,Winter 2018
85,Wyoming Whiskey Steamboat Straight Bourbon,45.0,Bourbon/Tennessee,45,"Aromas of dry cedar, used sandpaper, and hay mingle with candied fruit—green apple Jolly Rancher, Asian pear—along with earthy tea leaves. The wood-forward palate highlights more tea leaves, dried apple rings, apple skins, gentle clove spice, and cedar. It finishes with dry wood, cloves, and a hint of dried orange peel. A peculiar whiskey that seems unsure of itself.",Susannah Skiver Barton,Winter 2018
85,Cadée Deceptivus Bourbon,,Craft Whiskey,50,"Soft oak, brown sugar, and a back note of iron start things off, followed by hints of corn muffin, red candy, and a subtle note of dried red fruit. The palate leads with vanilla rice pudding, a light note of orange peel, milk chocolate, and green apple. It’s creamy, light, and sweet, with baking spice enlivening the chocolate. The finish is lengthy, ending with vanilla icing and a buttery note.",David Fleming,Winter 2018
85,Grangestone Sherry Cask Finish Highland,40.0,Single Malt Scotch,29,"A delicate grassy nose with aromas of bread dough, green bananas, cardamom, and lemon. Light-bodied on the palate, with pleasant flavors of cardamom, lemon, and white pepper, it rushes through to a more substantial finish of roasted walnuts, tobacco leaf, unsweetened chocolate, and oak. (<em>Total Wine &amp; More</em>)",Susannah Skiver Barton,Winter 2018
85,Pig’s Nose,40.0,Blended Scotch Whisky,29,"Stick your snout into aromas of rich tea biscuits, honey, tangerine, toasted almond chips, candied pineapple chunks, and a prickle of spice. It’s youthful but integrated, the grain domineering over the malt. A likable flavor sequence begins with lovely honey sweetness, honeydew melon, and pear, before a citrus phase, followed by an ominous wave of spice which vanquishes the sweet fruits, leaving a swift, spicy finish. (12,000 bottles for U.S.)",Jonny McCormick,Winter 2018
85,The Street Pumas’,40.0,Blended Scotch Whisky,,"Behind its comic book label, this pallid 3 year old, 40% malt content whisky has a nose of vanilla frosting, fudge, caramel, whole lime, orange peel, fresh apple, nougat, sesame seed bars, and faint notes of ground black pepper This works beautifully in long drinks, with its light character of dominant lemon flavors, vanilla, fizzy sherbet, and traces of spice. No messing around: it’s sharp, tangy, zingy, and refreshing. (12,000 bottles for U.S.)",Jonny McCormick,Winter 2018
85,Clontarf 1014 Classic Blend,40.0,Irish Blended Whiskey,22,"Named after the Irish victory over the Vikings at the Battle of Clontarf in 1014, this has a nose of vanilla, dusty spices, old sweet-shop toffee, dried banana, and polished wood furniture. While the tasty palate comprises fresh green apple, pear, citrus fruits, vanilla, boiled candies, and an appealing lift of spice, this would be tastier still with a bit more weight behind it.",Jonny McCormick,Winter 2018
85,Trader Joe’s Bourbon Cask Finish Highland,40.0,Single Malt Scotch,20,"On the nose, spiced plums, cinnamon, clove, ginger, and cooked fruit mingle with seawater and a waft of guava. A tug of war between sweet—orange oil, cookies with lemon icing—and spice—cloves, dried ginger—resolves into a finish of milk chocolate with a hint of hookah tobacco. This is light and a bit hot, but its perfumy character shows well. Finished in first-fill bourbon barrels. (<em>Trader Joe’s</em>)",Susannah Skiver Barton,Winter 2018
85,Ainsley Brae Oak Cask Matured Highland,40.0,Single Malt Scotch,28,"The scents of a forest floor—dried leaves, old pine needles, twigs—mingle with stewed fruit, biscuity malt, lemon oil, and rose petal soap. The palate is light and candy-sweet, like strawberry jelly beans, candied rose petals, and sugar cookies tinged with cinnamon. Youthful and very light, but pleasant. (<em>Total Wine &amp; More</em>)",Susannah Skiver Barton,Winter 2018
85,Ainsley Brae Sherry Cask Finished Highland,40.0,Single Malt Scotch,30,"An initial aroma of carrot peelings gives way to cedar, allspice, lemon, and chamomile; with water added, carrot cake, almond shell, and lemon icing emerge. On the palate there’s chamomile tea with lemon and clove, candied violet, orange, and cedar, swooping into a finish of oak and dried flowers. (<em>Total Wine &amp; More</em>)",Susannah Skiver Barton,Winter 2018
85,Douhans,40.0,Blended Irish Whiskey,18,"Coconut cream, orange peel, vanilla, and plenty of sweet grain permeate the nose and carry through to the palate, which is uncomplicated and youthful; a creamy, floral, banana confection touched with lemon. Light and simple—if you like this style of whiskey, this is a good option. (<em>Walmart</em>)",Susannah Skiver Barton,Winter 2018
85,Wolfhound,40.0,Blended Irish Whiskey,19,"Ripe orchard fruits, white flowers, saltines, green apple candy, and a hint of floor polish on the nose, along with pie crust that expresses itself as a sweet nuttiness on the palate. The flavors are simple—caramel, roasted hazelnuts, milk chocolate, and orange—and the finish short. If you’re after an ordinary Irish blend, this should do the trick. (<em>Total Wine &amp; More</em>)",Susannah Skiver Barton,Winter 2018
85,WhistlePig Farmstock Rye Crop 002,43.0,Craft Whiskey,73,"Whistle Pig raised the share of its own 2 year old rye from 20 percent to 32 percent in this second Farmstock release, balancing it against 6 and 10 year old sourced ryes, like in the 001 release. Fresh oak mixes with vanilla, orange peel, and pepper on the nose, leading to a palate of vanilla and butterscotch. Citrus emerges with water. Pepper notes return on the finish, along with chocolate and caramel. There’s youthfulness here, but also potential.",David Fleming,Fall 2018
85,Kings County Peated Bourbon,45.0,Craft Whiskey,,"On the nose, the peat presents itself as an autumn bonfire, with dried logs and dried leaves mingling with gentle spices of white pepper, dried ginger, and a bit of salinity. The wood keeps burning through the palate, which is fairly hot and replete with classic bourbon flavors of vanilla, caramel, roasted nuts, and apples. Pleasant enough, but ultimately a simple whiskey.",Susannah Skiver Barton,Fall 2018
85,Pennington Distilling Co. Davidson Reserve Rye,50.0,Craft Whiskey,60,"Though it takes some easing into, this whiskey shows pretty clove and vanilla notes on the nose, along with some Elmer’s glue and grape Kool-Aid. The palate is where the rye grain starts to shine, with spice, peaches, plums, and milk and white chocolate, and cooked cherries on the finish. Water is a must to cut through the youthful heat.",Susannah Skiver Barton,Fall 2018
85,Grant’s Elementary Carbon 6 year old,40.0,Blended Malt Scotch Whisky,30,"The black-labeled Carbon relates to heavily charred casks, which bring aromas of toffee, raisin, chocolate, dark concentrated fruits, barbecued meat, and ashy soot. The smokiness broods malevolently if you leave the glass. The texture feels too light to shoulder the flavors of dark char, toffee, spice, and dark fruity chocolate as the balance becomes swamped in smoke. It’s like a young child wearing their father’s thickest winter overcoat. (<em>Global Travel Retail only</em>)",Jonny McCormick,Fall 2018
85,Baltimore Spirits Co. Epoch Rye (Batch 1),50.0,Craft Whiskey,40,"This is one for the oak fanatics. Wood and grain assert themselves right from the start, but the nose retains balance with aromas of butterscotch, fresh ginger, and herbs. The oak-forward palate shows pleasant flavors of cherry cough drop, dark chocolate, blackberries, red licorice, star anise, and ginger. Oak continues on the finish, which has nice length. Don’t be shy about adding water.",Susannah Skiver Barton,Fall 2018
85,Glen Moray Elgin Classic Port Cask Finish,40.0,Single Malt Scotch,30,"This is finished for 8 months in tawny port pipes and is quite restrained on the early nose, opening up to reveal rose petals, milk chocolate, and double cream.  The palate is floral, with raisins  and red currants. Drying in the  finish, with peppery oak and  cinnamon.",Gavin Smith,Summer 2018
85,Pearse Distiller’s Choice,42.0,Irish Blended Whiskey,50,"A stronger grain distillate characterizes this malt and grain blend aged for under a decade. More forthright than the Original, with mint leaves, fresh orange, dry spices, lemon peel, and the bouquet of aromatic florist’s grasses. Enticing soft fruits are subdued by the grain flavors of spicy green herbal notes and astringent clove, although it mellows to a redeeming finish of sherry trifle and bubble gum. (KY, GA, and FL, with expansion planned)",Jonny McCormick,Summer 2018
85,That Boutique-y Whisky Company (distilled at Millstone) 6 year old,,Dutch,75,"Originating from Zuidam Distillers’ diverse inventory of casks, this single malt whisky conjures thoughts of bread dough, white grape, and slightly sour spices. The orange flavors start as a deep glow, then blossom beautifully into rich marmalade aromas. Initially mouth-drawing, with bold, juicy flavors of peach and orange supported by toffee and a gentle lift of spices. Appetizing taste of spiced orange cake to finish. (637 bottles)",Jonny McCormick,Summer 2018
85,That Boutique-y Whisky Company (distilled at Slyrs) 3 year old,,World Whisky,90,"White pepper-dappled summer fruits on the nose, with squishy overripe melon, banana peel, zesty lime, dried grasses, and clove, with a slightly rubberized note like BMX handlebar grips. This young Bavarian single malt has a rich, syrupy texture and tastes of sour fruits, bitter orange peel, and barley, shifting to creamy caramel and peppery spices. Finish of caramel, peppercorn, and peach pit. Not bad at all. (691 bottles)",Jonny McCormick,Summer 2018
85,J&B Rare,40.0,Blended Scotch Whisky,23,"Justerini &amp; Brooks sold scotch in the U.S. before Prohibition. This light, Speyside-style blend has grassy notes, with crystalized lemon slices, Bramley apple peel, woodsmoke, and almonds. Light and sweet on the tongue, it unpacks lemon peel, satsuma, juicy watermelon, pepper, and aniseed. Grain whisky and herbal notes creep in late and permeate the finish.",Jonny McCormick,Summer 2018
85,Davidson Reserve Four Grain Tennessee Straight Whiskey (Batch 1),50.0,Craft Whiskey,45,"This whiskey shows some green-spirit youth, but it’s headed in a good direction, with sassafras, toasted nuts, leather, forest aromas, and a touch of furniture polish. It’s much bigger on the palate, as burnt peanut candies meet baking spices, and treacle. The wood jumps out a bit and the fiery youth is undeniable, but plenty to like. (2,580 bottles)",Jeffery Lindenmuth,Summer 2018
85,J. Henry & Sons 5 year old Wisconsin Straight Bourbon (Batch 34),46.0,Craft Whiskey,50,"The nose offers a nice mélange of herbal and fruit notes, as pine sap, earthy forest floor, and menthol balance with sweet Bananas Foster and baked apple. More banana on the palate, plus juicy stone fruits sprinkled with cinnamon before a drying finish that nicely weaves cocoa, spices, oak, and saddle leather.",Jeffery Lindenmuth,Summer 2018
85,New Deal Distiller’s Reserve Oregon Straight Bourbon,40.0,Craft Whiskey,40,"Makes a pleasant first impression as sweet apple and corn notes meet summer flowers, Cracker Jack, and fresh oak. The palate shows a pleasingly oily texture, as butterscotch candy and roasted peanuts come with hints of spice and orange peel. The nutty finish shows toasted almonds and caramel.",Jeffery Lindenmuth,Summer 2018
85,Tommyrotter Triple Barrel American Whiskey,46.0,Craft Whiskey,40,"Aromas of menthol, licorice, and herbs have a slightly antiseptic quality, yet the caramelized oak and grilled pineapple flavors keep it grounded in bourbon. Bold and intriguing on the palate, it pours a bit hot, with lots of cedar shingle and sandalwood balanced by banana and toasted marshmallow. Cinnamon and candied orange on the finish. A blend of Indiana bourbons and Tennessee whiskeys finished in red wine casks.",Jeffery Lindenmuth,Summer 2018
85,Ballyhoo,43.0,Irish,30,"Fresh and grassy, it’s quite dainty, with peach, Liquorice Allsorts, and light florals. Sugary sweetness, lemon slices, and candied orange jellies, concluding with hot white pepper and residual sweetness. This is sourced 4 year old grain whiskey finished in port barrels, though the label does not disclose this. Otherwise, an original, delectable finishing concept. (DE, IL, MA, MD, NJ, NY, PA, and Washington, D.C.)",Jonny McCormick,Summer 2018
85,Dewar’s 18 year old The Vintage,40.0,Blended Scotch Whisky,80,"Vanilla laced with spice, fondant icing, grapefruit peel, and lime zest leave the vanilla and floral notes lower down the pecking order. In the mouth, grapefruit and orange dominate the vanilla, yet the mouthfeel is thinner and the acidity tips toward the taste of bitter orange seeds. A lingering bitter orange finish.",Jonny McCormick,Spring 2018
85, Dewar’s White Label,40.0,Blended Scotch Whisky,25,"Honey, fudge, a little melon and white grape, dry roasted spices, and peppercorn, but noticeably less fruit than the age-statement varieties. The palate has pulpy white melon, lemon, lime, and some grapefruit acidity, before sweetening with honey. Quite tart at times, some peppery spice collaborates before the vanilla cream and green fruits take charge. A clean, juicy finish of lemon zest and mild spices coats the throat.",Jonny McCormick,Spring 2018
85,FEW Italia,,Craft Whiskey,50,"Super floral with bright lemon and yuzu, this beams with originality, as violet candies, rose petal, and pine forest join the fray. The mouthfeel has a satisfying oily texture and a slightly tart, bright citrus lift before the creamy sweetness settles in, nicely balanced with drying oak tannins.",Jeffery Lindenmuth,Spring 2018
85,Coppersea Bonticou Crag Straight Malt Rye,48.0,Rye Whiskey,80,"A very grain-forward nose, reminiscent of caraway or a fresh pumpernickel loaf. A soft, dusty rye, with hints of peppermint, spearmint, and cinnamon candy and bitter brown sugar. Quite dry, with some bitter oak, dry hay, and fresh-sawn lumber. Dried herbs, grilled pineapple, and lingering pepper on the finish. Made from rye malted by hand and distilled in direct-fired stills, this whiskey is more focused on grain than oak. <em><a href=""/best-empire-rye-new-york/"" rel=""noopener"" target=""_blank"">Empire rye</a></em>",Adam Polonski,Spring 2018
85,New York Distilling Co. Ragtime Rye Applejack Finish,50.0,Rye Whiskey,46,"A true fruit bouquet on the nose, with apple, lemon, peach, and apricots, balanced by gentle wood. Very buttery and creamy on the palate, with a panoply of earthy white chocolate, pretty baking spice, and minced apple. A little too much fresh lumber and banana flavor, but well-balanced and intriguing. The applejack cask finish is a nice touch, but the rye could still use more time in the barrel. <em><a href=""/best-empire-rye-new-york/"" rel=""noopener"" target=""_blank"">Empire rye</a></em>",Adam Polonski,Spring 2018
85,Whiskey Del Bac Classic Unsmoked,42.0,Craft Whiskey,49,"Driven by earthy oak and dark cocoa on the nose, this whiskey is alluring in its rustic richness, with saddle leather and a pocketful of dried fruit pulled from an old backpack. On the palate, the cherry and red berry fruit meet some pleasant peppery and clove spice, with the impression of lemon oil. Pleasingly drinkable, with caramel and more oak on the modest finish.",Jeffery Lindenmuth,Spring 2018
85,Kurayoshi 3 year old,46.0,Japanese,65,"Aged for just 3 years, the nose is a fresh fruit salad of green apple, honeydew, lychee, and kumquat. The green fruits and tangy citrus on the palate fall under attack from peppery arugula leaves and active spices. A structure as light as cotton candy; the flavor of orange taffy is all that remains when the dust settles. The finish is dry and peppery, with a slight herbal note. (1,440 bottles)",Jonny McCormick,Spring 2018
